theorem_id,N,gamma,steps,mean_residue,final_fragmentation,final_agreement,admissibility_surface_shift,basin_area_delta
T001,1536,0.1,50,4.3177284083556025,0.10878109885572708,0.9184141758582045,359.05856788890685,89.76464197222671
T001,1536,0.1,100,8.881142600852876,0.0697935930693233,0.9476548051980076,602.694785735983,150.67369643399576
T001,1536,0.1,250,23.328528698454104,0.017470995663733377,0.9868967532521999,924.6529837579636,231.1632459394909
T001,1536,0.25,10,0.847492164363011,0.13885040529901657,0.8958621960257377,195.51497281323702,48.878743203309256
T001,1536,0.25,50,4.488084471674984,0.05604338117525374,0.9579674641185598,690.5640850965433,172.64102127413582
T001,1536,0.25,100,9.328666896646572,0.017228668446223568,0.9870784986653324,924.5847938401405,231.14619846003512
T001,1536,0.25,250,24.220609050477798,0.006247960236308871,0.9953140298227684,1021.5979571976067,255.39948929940167
T001,2048,0.01,10,0.8742955510183413,0.12595741133289823,0.9055319415003262,8.913763344195786,2.2284408360489465
T001,2048,0.01,50,4.388517000043137,0.11905852859821044,0.9107061035513423,43.96661677570523,10.991654193926308
T001,2048,0.01,100,8.804797835789508,0.11445669943778695,0.9141574754216599,86.30585233999409,21.576463084998522
T001,2048,0.01,250,22.191478353223943,0.10369373870975991,0.9222296959676801,203.79277473676518,50.948193684191295
T001,2048,0.05,10,0.8772070939552762,0.12102343866945496,0.9092324209979089,43.9422966489218,10.98557416223045
T001,2048,0.05,50,4.439897751034669,0.10071268226878849,0.9244654882984087,203.85847400090415,50.96461850022604
T001,2048,0.05,100,8.98935023743701,0.08152116357482314,0.9388591273188827,370.72100202861975,92.68025050715494
T001,2048,0.05,250,23.122753954484953,0.037969776576556535,0.9715226675675825,701.7479163067468,175.4369790766867
T001,2048,0.1,10,0.8795778508184706,0.1147673650368696,0.9139244762223478,86.22127481878113,21.55531870469528
T001,2048,0.1,50,4.493871037965382,0.0778675739764211,0.9415993195176842,370.6684710098201,92.66711775245503
T001,2048,0.1,100,9.171035016699614,0.053749280369061944,0.9596880397232036,614.7327752552051,153.68319381380127
T001,2048,0.1,250,23.77097515937856,0.013843194822482254,0.9896176038831384,928.9527354305214,232.23818385763036
T001,2048,0.25,10,0.8868846152452483,0.10330544948085739,0.9225209128893572,203.6339428638455,50.908485715961376
T001,2048,0.25,50,4.622773202117427,0.04089022013562213,0.9693323348982834,701.6046765593921,175.40116913984804
T001,2048,0.25,100,9.507391928797151,0.015563244205026187,0.9883275668462304,928.9290149718486,232.23225374296214
T001,2048,0.25,250,24.408171865290733,0.004261337082219681,0.9968039971883351,1021.7079907393288,255.4269976848322
T002,256,0.01,10,0.004052277593881486,0.997446014476686,0.25191548914248546,0.08298896363976382,0.020747240909940956
T002,256,0.01,50,0.01958467397883553,0.9959811788526183,0.25301411586053624,0.4010548491623922,0.10026371229059805
T002,256,0.01,100,0.040295282336743884,0.9965066236109836,0.25262003229176216,0.8250811367056485,0.20627028417641213
T002,256,0.01,250,0.10562377918512132,0.9966399384880039,0.2525200461339971,2.1620329862337258,0.5405082465584314
T002,256,0.05,10,0.003948412828949541,0.9964510770687824,0.25266169219841317,0.4042775660032021,0.10106939150080052
T002,256,0.05,50,0.02149525013393243,0.993364160344653,0.2549768797415102,2.199931200164656,0.549982800041164
T002,256,0.05,100,0.04837661220446975,0.9934346551239135,0.2549240086570649,4.947778758033792,1.236944689508448
T002,256,0.05,250,0.14496354846501458,0.990816146372227,0.25688789022082964,14.790600162446253,3.6976500406115633
T002,256,0.1,10,0.003991146424070846,0.9966927487257273,0.2524804384557046,0.8172236938303286,0.20430592345758214
T002,256,0.1,50,0.02231715760666752,0.9929219025134298,0.25530857311492755,4.565457581150213,1.1413643952875532
T002,256,0.1,100,0.05431417489176998,0.9918099514888403,0.25614253638336976,11.093389331909748,2.773347332977437
T002,256,0.1,250,0.2631000755992617,0.9744872474831806,0.26913456438761446,53.18024155276066,13.295060388190166
T002,256,0.25,10,0.003891159549721244,0.99641272249155,0.25269045813133745,1.9913049717533795,0.4978262429383449
T002,256,0.25,50,0.027700266941033287,0.9940567705430289,0.2544574220927285,14.133542328944031,3.533385582236008
T002,256,0.25,100,0.10417348927706702,0.9727633216012902,0.27042750879903227,52.64828138988355,13.162070347470888
T002,256,0.25,250,2.8619310144041568,0.497657737462361,0.6267566969032292,1046.6180924683158,261.65452311707895
T002,512,0.01,10,0.004758581049335423,0.9955717934044184,0.2533211549466861,0.09745342117207656,0.02436335529301914
T002,512,0.01,50,0.02085135132295433,0.9962222569525132,0.2528333072856151,0.42699115683399214,0.10674778920849803
T002,512,0.01,100,0.042433296411412504,0.9942700676717122,0.2542974492462158,0.8688495567148493,0.21721238917871233
T002,512,0.01,250,0.10895961226087734,0.9947600523970836,0.2539299607021872,2.2302775875443785,0.5575693968860946
T002,512,0.05,10,0.004302799935652994,0.9959812712142518,0.2530140465893111,0.44055932074616067,0.11013983018654017
T002,512,0.05,50,0.02084768117669284,0.9965438045719555,0.2525921465710334,2.1336902969180755,0.5334225742295189
T002,512,0.05,100,0.047205069165230505,0.9939018545076337,0.25457360911927474,4.828099072390614,1.2070247680976536
T002,512,0.05,250,0.14699221949268804,0.9933946318411115,0.2549540261191664,14.996825353324766,3.7492063383311915
T002,512,0.1,10,0.004598395832611968,0.9951640734929672,0.25362694488027465,0.9415349724033604,0.2353837431008401
